gender;age_diff;attractive;sincere;intelligent;funny;ambitious;shared_interests;like;guess_liked;match
f;6;6;8;8;8;8;6;7;6;no
f;1;7;8;10;7;7;5;7;5;no
f;2;7;8;9;8;9;8;7;6;yes
f;3;8;7;9;6;9;7;6;6;yes
f;4;7;7;8;8;7;7;6;5;no
f;9;3;6;7;5;8;7;6;5;no
f;6;6;7;5;6;8;6;6;7;no
f;7;7;7;8;8;8;9;7;7;yes
f;3;6;6;6;6;6;6;6;6;no
f;3;8;7;6;9;7;4;6;4;no
f;2;7;6;10;6;6;5;7;3;no
f;2;10;10;10;10;10;10;6;7;no
f;1;9;9;9;9;9;9;7;8;yes
f;0;10;10;10;10;7;8;8;6;no
f;1;7;8;7;5;7;7;6;5;no
f;6;5;3;4;3;5;3;8;7;no
f;3;7;7;7;7;7;5;5;6;no
f;4;8;6;9;9;8;7;5;6;yes
f;0;6;5;7;7;9;7;8;7;no
f;2;7;8;6;5;8;4;8;7;no
f;3;6;7;10;6;6;5;8;7;no
f;3;10;10;10;10;10;10;8;7;no
f;2;7;9;8;8;8;8;8;7;no
f;5;6;3;5;4;5;4;8;7;no
f;2;4;5;6;4;6;4;8;7;no
f;3;7;7;6;8;7;7;9;7;no
f;1;5;6;8;5;8;6;8;7;no
f;4;6;7;8;7;7;5;6;7;no
f;1;6;5;10;6;6;5;8;1;no
f;1;10;10;10;10;10;10;4;1;no
f;0;7;7;7;9;9;9;8;10;yes
f;1;8;8;9;8;8;9;7;7;no
f;2;6;6;7;7;8;7;4;3;no
f;7;7;6;3;5;6;5;5;1;no
f;4;6;7;8;6;6;5;6;6;no
f;5;7;7;7;10;9;10;8;8;yes
f;1;7;8;8;7;8;7;10;8;no
f;6;6;8;8;8;7;6;7;5;no
f;1;6;7;10;7;6;5;6;4;no
f;1;10;10;10;10;10;10;6;5;no
f;2;6;8;6;8;10;10;8;2;yes
f;3;5;9;9;7;9;5;7;4;no
f;4;5;8;7;7;7;7;7;3;no
f;9;2;3;4;4;5;3;6;3;no
f;6;5;5;6;5;5;5;6;4;no
f;7;5;9;9;9;9;6;9;4;yes
f;3;3;10;7;7;10;5;10;3;no
f;4;7;9;8;9;8;4;6;6;no
f;1;6;8;10;6;7;6;7;6;no
